crystal_system,seed,feature,mae_increase,within_seed_std,test_mae,rank_within_seed
Orthorhombic,55,MagpieData maximum NpValence,6.278699335826588e-06,4.2579847251695566e-05,0.6447019372673305,114.0
Orthorhombic,55,MagpieData range NpValence,5.11994024483764e-05,3.6378379204726874e-05,0.6447019372673305,106.0
Orthorhombic,55,MagpieData mean NpValence,0.0057284525458583205,0.0015241170777223869,0.6447019372673305,37.0
Orthorhombic,55,MagpieData avg_dev NpValence,0.0069795670852646815,0.0005837733286604848,0.6447019372673305,30.0
Orthorhombic,55,MagpieData mode NpValence,8.648405102746892e-05,7.564397748940549e-05,0.6447019372673305,102.0
Orthorhombic,55,MagpieData minimum NdValence,-1.3322676295501878e-16,1.0877919644084148e-16,0.6447019372673305,120.0
Orthorhombic,55,MagpieData maximum NdValence,0.07868800997804662,0.004629757424721798,0.6447019372673305,4.0
Orthorhombic,55,MagpieData range NdValence,0.09106859023435301,0.0038146759445522728,0.6447019372673305,3.0
Orthorhombic,55,MagpieData mean NdValence,0.05427476921618464,0.0021343541636382446,0.6447019372673305,5.0
Orthorhombic,55,MagpieData avg_dev NdValence,0.027941597372149185,0.001546954953962081,0.6447019372673305,8.0
Orthorhombic,55,MagpieData mode NdValence,-2.785539215843791e-06,0.0,0.6447019372673305,127.0
Orthorhombic,55,MagpieData minimum NfValence,-1.3322676295501878e-16,1.0877919644084148e-16,0.6447019372673305,120.0
Orthorhombic,55,MagpieData maximum NfValence,1.245247078307532e-05,8.750395141451578e-05,0.6447019372673305,111.0
Orthorhombic,55,MagpieData range NfValence,0.00017902724928857693,1.0930115203476997e-05,0.6447019372673305,96.0
Orthorhombic,55,MagpieData mean NfValence,0.0004122236707451821,0.0001623547725404388,0.6447019372673305,88.0
Orthorhombic,55,MagpieData avg_dev NfValence,0.000665595206167402,0.00028365673512147093,0.6447019372673305,81.0
Orthorhombic,55,MagpieData mode NfValence,-1.3322676295501878e-16,1.0877919644084148e-16,0.6447019372673305,120.0
Orthorhombic,55,MagpieData minimum NValence,0.0013957569317808894,0.0006236956428777186,0.6447019372673305,66.0
Orthorhombic,55,MagpieData maximum NValence,0.010374842270069573,0.0007106686346996045,0.6447019372673305,20.0
Orthorhombic,55,MagpieData range NValence,0.01041250923187187,0.001127542709897349,0.6447019372673305,19.0
Orthorhombic,55,MagpieData mean NValence,0.004064400420369996,0.0006473703855399744,0.6447019372673305,46.0
Orthorhombic,55,MagpieData avg_dev NValence,0.014857103048692411,0.0015021018039746837,0.6447019372673305,14.0
Orthorhombic,55,MagpieData mode NValence,4.215975076948819e-05,0.00015932129101321635,0.6447019372673305,107.0
Orthorhombic,55,MagpieData minimum NsUnfilled,-1.3322676295501878e-16,1.0877919644084148e-16,0.6447019372673305,120.0
Orthorhombic,55,MagpieData maximum NsUnfilled,-1.8396947313248368e-05,8.18528912826449e-05,0.6447019372673305,130.0
Orthorhombic,55,MagpieData range NsUnfilled,6.909697018131488e-06,9.108186475196129e-05,0.6447019372673305,113.0
Orthorhombic,55,MagpieData mean NsUnfilled,0.0002581998904976013,6.602744017253867e-05,0.6447019372673305,93.0
Orthorhombic,55,MagpieData avg_dev NsUnfilled,0.0010440638610169195,0.0001580632742284179,0.6447019372673305,72.0
Orthorhombic,55,MagpieData mode NsUnfilled,1.180237591915656e-05,2.521703255907409e-05,0.6447019372673305,112.0
Orthorhombic,55,MagpieData minimum NpUnfilled,3.473107821363453e-05,4.4952583748704064e-05,0.6447019372673305,108.0
Orthorhombic,55,MagpieData maximum NpUnfilled,0.0007063867901659027,0.00035229796694714795,0.6447019372673305,79.0
Orthorhombic,55,MagpieData range NpUnfilled,0.00077140129523523,0.0001419844074412783,0.6447019372673305,77.0
Orthorhombic,55,MagpieData mean NpUnfilled,0.023726439339845196,0.0017460312924005193,0.6447019372673305,12.0
Orthorhombic,55,MagpieData avg_dev NpUnfilled,0.0061914315121327276,0.0012612476727146696,0.6447019372673305,34.0
Orthorhombic,55,MagpieData mode NpUnfilled,0.00029055431788371777,7.798413143944771e-05,0.6447019372673305,92.0
Orthorhombic,55,MagpieData minimum NdUnfilled,-4.4408920985006264e-17,8.881784197001254e-17,0.6447019372673305,115.0
Orthorhombic,55,MagpieData maximum NdUnfilled,0.001358284069199045,0.0004351431371100051,0.6447019372673305,67.0
Orthorhombic,55,MagpieData range NdUnfilled,0.0014117651626658345,0.00016036594069612827,0.6447019372673305,65.0
Orthorhombic,55,MagpieData mean NdUnfilled,0.0062115915799444196,0.0010437489502864079,0.6447019372673305,33.0
Orthorhombic,55,MagpieData avg_dev NdUnfilled,0.0037246240071444393,0.0005356677469153642,0.6447019372673305,49.0
Orthorhombic,55,MagpieData mode NdUnfilled,-8.881784197001253e-17,1.0877919644084148e-16,0.6447019372673305,117.0
Orthorhombic,55,MagpieData minimum NfUnfilled,-8.881784197001253e-17,1.0877919644084148e-16,0.6447019372673305,117.0
Orthorhombic,55,MagpieData maximum NfUnfilled,0.0017330454814431962,0.0006193505720523324,0.6447019372673305,61.0
Orthorhombic,55,MagpieData range NfUnfilled,0.0002489237883480877,0.00013153320563365664,0.6447019372673305,94.0
Orthorhombic,55,MagpieData mean NfUnfilled,0.0008742156152199865,0.00021445839263094712,0.6447019372673305,76.0
Orthorhombic,55,MagpieData avg_dev NfUnfilled,0.00034056610402406485,0.0002416423344030774,0.6447019372673305,90.0
Orthorhombic,55,MagpieData mode NfUnfilled,-4.4408920985006264e-17,8.881784197001253e-17,0.6447019372673305,115.0
Orthorhombic,55,MagpieData minimum NUnfilled,0.0016232838137782534,0.00018429190750889453,0.6447019372673305,64.0
Orthorhombic,55,MagpieData maximum NUnfilled,0.01125667139274238,0.0017301060451248903,0.6447019372673305,16.0
Orthorhombic,55,MagpieData range NUnfilled,0.009945692311127052,0.0011172381127683244,0.6447019372673305,23.0
Orthorhombic,55,MagpieData mean NUnfilled,0.009954295194775864,0.0011401042933460387,0.6447019372673305,22.0
Orthorhombic,55,MagpieData avg_dev NUnfilled,0.008145122416100992,0.0008135167092965932,0.6447019372673305,27.0
Orthorhombic,55,MagpieData mode NUnfilled,-0.00013197114440786085,4.617602778289292e-05,0.6447019372673305,134.0
Orthorhombic,55,MagpieData minimum GSvolume_pa,0.0007500415625287804,0.00023669180174956328,0.6447019372673305,78.0
Orthorhombic,55,MagpieData maximum GSvolume_pa,0.0009414520804175597,0.0007714542719187997,0.6447019372673305,74.0
Orthorhombic,55,MagpieData range GSvolume_pa,0.007784437321370486,0.001291395225567135,0.6447019372673305,28.0
Orthorhombic,55,MagpieData mean GSvolume_pa,0.011239832465741385,0.001854308638490278,0.6447019372673305,17.0
Orthorhombic,55,MagpieData avg_dev GSvolume_pa,0.014058445976777101,0.0016402156899470723,0.6447019372673305,15.0
Orthorhombic,55,MagpieData mode GSvolume_pa,0.0004584688833074946,0.0003482280618610605,0.6447019372673305,86.0
