crystal_system,feature,mean_mae_increase,std_across_seeds,mean_within_seed_std,top3_seed_count,positive_seed_count,mean_rank
Cubic,MagpieData range Row,-0.00039876601644520896,0.0007358540301589444,0.0003057374852965368,0,1,122.2
Cubic,MagpieData mean AtomicWeight,-0.001158931945597894,0.001126648304238411,0.0009778389949103045,0,0,134.2
Cubic,MagpieData avg_dev NValence,-0.008381515173657084,0.007365493062938061,0.0030250057598214157,0,1,118.6
Hexagonal,energy_above_hull,0.28396330065214037,0.02769085270916311,0.04184027005635208,5,5,1.0
Hexagonal,MagpieData mean NdValence,0.15773054326560154,0.03960272407585958,0.015677978817942605,4,5,2.6
Hexagonal,formation_energy_per_atom,0.14472430838972553,0.01634941934819629,0.010331671985191318,5,5,2.6
Hexagonal,MagpieData avg_dev NdValence,0.10587840419048881,0.019925312137482547,0.01390554411223055,1,5,3.8
Hexagonal,MagpieData mean MendeleevNumber,0.04904007192950748,0.007782513144612045,0.009190847007026617,0,5,5.4
Hexagonal,density,0.04582125087266488,0.014968969301887073,0.009878145397735197,0,5,6.4
Hexagonal,MagpieData mean Row,0.031245939013641734,0.007894394563231828,0.005159632137385512,0,5,8.8
Hexagonal,MagpieData avg_dev NpValence,0.03003667807223111,0.007240788930524449,0.006465129049050217,0,5,8.4
Hexagonal,MagpieData mean NpValence,0.028751965920207602,0.005206370912654552,0.0051358617582336185,0,5,9.4
Hexagonal,MagpieData avg_dev CovalentRadius,0.02633224428474647,0.015420247689587907,0.0044643586562021515,0,5,12.8
Hexagonal,volume,0.020255988921797505,0.007134694612988249,0.004447621072662807,0,5,14.6
Hexagonal,MagpieData avg_dev NValence,0.02004559650523645,0.01057488690217173,0.004733539689611933,0,5,15.8
Hexagonal,MagpieData mean NpUnfilled,0.0198754559779879,0.006812100667760072,0.004245234307945778,0,5,13.8
Hexagonal,MagpieData mean Column,0.019345807132133252,0.0065357477936150085,0.002796422230977891,0,5,16.2
Hexagonal,MagpieData mean CovalentRadius,0.018914497747454483,0.017293713188620198,0.004288346441306044,0,5,22.2
Hexagonal,MagpieData mean GSbandgap,0.01637657788338968,0.0030566566190979153,0.004440092553300299,0,5,16.0
Hexagonal,MagpieData mean NUnfilled,0.01622390381219954,0.005062631126362385,0.0045334180407895506,0,5,17.2
Hexagonal,MagpieData mean SpaceGroupNumber,0.01335779317882214,0.005329494364384538,0.004481409582942993,0,5,22.0
Hexagonal,MagpieData avg_dev Number,0.01309820895288632,0.008726829468584028,0.0037746858656318924,0,4,37.0
Hexagonal,MagpieData avg_dev GSbandgap,0.012204889044817242,0.004837563872411182,0.003401827700298054,0,5,22.0
Hexagonal,MagpieData avg_dev NdUnfilled,0.012183857031107356,0.00539085792232674,0.00230097288369908,0,5,24.0
Hexagonal,MagpieData mean MeltingT,0.011557231017957026,0.0038046344882180635,0.0046098841623383804,0,5,22.4
Hexagonal,MagpieData avg_dev AtomicWeight,0.011350826463757539,0.005314200797905751,0.0024867815847775827,0,5,24.2
Hexagonal,MagpieData mean NdUnfilled,0.01129291854934995,0.006519781941615211,0.0018929502558674778,0,5,25.4
Hexagonal,MagpieData range NValence,0.01079389984977214,0.0038512371958837207,0.0029334875037914307,0,5,24.4
Hexagonal,MagpieData range MendeleevNumber,0.008500020581248028,0.004571648662712859,0.00203287989189228,0,5,29.6
Hexagonal,MagpieData avg_dev NpUnfilled,0.008154333869389987,0.003543673096817709,0.002079572394241132,0,5,29.2
Hexagonal,MagpieData mean AtomicWeight,0.007568676092451408,0.0018393337194690458,0.0017682592244792944,0,5,28.8
Hexagonal,MagpieData range CovalentRadius,0.007116362642817254,0.0037371593303496065,0.0011113372865421529,0,5,34.6
Hexagonal,MagpieData mean GSvolume_pa,0.006919734335031516,0.0018422160352217442,0.003411193997873467,0,5,31.6
Hexagonal,MagpieData maximum AtomicWeight,0.006803474050795791,0.0062353718286308575,0.0012125424600027417,0,5,43.2
Hexagonal,MagpieData range MeltingT,0.006668521482092231,0.0029477122889958306,0.0018202878295037854,0,5,33.6
Hexagonal,MagpieData avg_dev MeltingT,0.0061855974039805115,0.00244860064185175,0.002341157020210388,0,5,34.0
Hexagonal,MagpieData mean NValence,0.005942367273055589,0.003714993551627676,0.0022311896491435655,0,5,38.0
Hexagonal,MagpieData mean Number,0.005871949057274026,0.003981227379437034,0.0017370539195930644,0,5,38.2
Hexagonal,MagpieData mean Electronegativity,0.0056549879793144206,0.0036861111081962087,0.0034686381243181413,0,5,38.8
Hexagonal,MagpieData maximum MeltingT,0.00563929203714618,0.0034615127990562967,0.0011897272815816116,0,5,38.2
Hexagonal,MagpieData avg_dev Row,0.005632607531624374,0.004450753083224769,0.0016228736726785712,0,5,42.4
Hexagonal,MagpieData avg_dev SpaceGroupNumber,0.004842023029463984,0.005029697979282076,0.005254194696621512,0,4,55.0
Hexagonal,MagpieData avg_dev NUnfilled,0.004641609512269258,0.0023310293407197953,0.002386763820379727,0,5,42.0
Hexagonal,MagpieData maximum NdUnfilled,0.00409620023430135,0.004829370663387464,0.0013797259616905335,0,5,50.0
Hexagonal,MagpieData range NdValence,0.003998320010195208,0.005447328007537804,0.0009755028263291651,0,4,71.0
Hexagonal,MagpieData avg_dev MendeleevNumber,0.003895157671244642,0.002935120969984158,0.001288162568628632,0,5,48.4
Hexagonal,MagpieData avg_dev GSvolume_pa,0.003652211191077473,0.0036935211855098253,0.0017627739067743908,0,5,51.6
Hexagonal,MagpieData avg_dev Electronegativity,0.003646046386300701,0.004116195380510537,0.00232883338622146,0,4,62.8
Hexagonal,nsites,0.003605232013295181,0.0026338723760552306,0.0022452575865264035,0,5,47.4
Hexagonal,MagpieData maximum NdValence,0.0032410102155717045,0.003048248529417289,0.0019907589874935076,0,4,62.6
Hexagonal,MagpieData minimum Electronegativity,0.0030960926887961815,0.003134068929111021,0.0010808025238375715,0,4,61.0
Hexagonal,MagpieData range AtomicWeight,0.0030473632666392536,0.004165644408873994,0.0014820819715108211,0,4,58.2
Hexagonal,MagpieData maximum CovalentRadius,0.0029444871312318812,0.0016904291107917883,0.0011073541778541713,0,5,51.6
Hexagonal,MagpieData maximum Number,0.002846327644699018,0.002471637281105036,0.0005534896798581329,0,4,64.0
Hexagonal,MagpieData maximum NUnfilled,0.0026937062944947777,0.002435985402298163,0.0013598680964917998,0,4,64.6
Hexagonal,MagpieData range NdUnfilled,0.0024383437856246417,0.0019519617723381046,0.0008045533246711182,0,4,65.4
Hexagonal,MagpieData mode Electronegativity,0.002332960844250076,0.0017792283008737431,0.0006205528795625863,0,4,66.0
Hexagonal,MagpieData maximum NValence,0.0021858183111558606,0.0007291576261471529,0.000805359994948179,0,5,55.6
Hexagonal,MagpieData minimum MendeleevNumber,0.0021696534353397644,0.0012062738595733844,0.0007675472064406017,0,5,58.6
Hexagonal,MagpieData minimum NValence,0.002093431053783754,0.0017654324443992385,0.0008019287108308185,0,5,62.6
Hexagonal,MagpieData mean NfUnfilled,0.0020875063007164928,0.0012415851453170513,0.0012413107165087911,0,5,58.6
Hexagonal,MagpieData avg_dev GSmagmom,0.0020843422458224348,0.0008269448354807982,0.0006602186849789773,0,5,55.2
Hexagonal,nelements,0.002083757512346045,0.0011059215549321108,0.0012546358290080133,0,5,58.4
Hexagonal,MagpieData range Column,0.001997594711543309,0.002333425358509606,0.0012290003106500418,0,4,68.6
Hexagonal,MagpieData mean GSmagmom,0.0019013371289259243,0.0014010664182037534,0.0006905612952888855,0,5,59.6
Hexagonal,MagpieData range NUnfilled,0.0018582874875404665,0.0032744631009718112,0.001023708961630053,0,4,72.4
Hexagonal,MagpieData avg_dev Column,0.00176426266165151,0.0057426601153320106,0.0021288120758137866,0,4,61.8
Hexagonal,MagpieData avg_dev NfUnfilled,0.0017454202454565949,0.002371111487302573,0.0017010163999572653,0,4,78.0
Hexagonal,MagpieData range SpaceGroupNumber,0.0016172792095829845,0.0012653733901337623,0.0008555421954620947,0,5,63.8
Hexagonal,MagpieData range GSvolume_pa,0.0015845564105855514,0.002683042737012527,0.0017896330948046109,0,3,83.8
Hexagonal,MagpieData mean NsValence,0.0014667023136014292,0.0008525967331815139,0.0004946725121493241,0,5,64.8
