crystal_system,feature,mean_coefficient,std_coefficient,mean_absolute_coefficient,std_absolute_coefficient,nonzero_folds
Monoclinic,MagpieData avg_dev Row,-0.16268617669845226,0.10532405181399883,0.16268617669845226,0.10532405181399883,5
Monoclinic,MagpieData avg_dev SpaceGroupNumber,0.02720525465519378,0.015915292811508074,0.02720525465519378,0.015915292811508074,5
Monoclinic,MagpieData maximum AtomicWeight,-1.9652219022706003,0.27037355188127576,1.9652219022706003,0.27037355188127576,5
Monoclinic,MagpieData maximum Column,0.02234824146685593,0.021504775894690374,0.02234824146685593,0.021504775894690374,3
Monoclinic,MagpieData maximum CovalentRadius,0.07270095356415844,0.043128886388539546,0.07270095356415844,0.043128886388539546,4
Monoclinic,MagpieData maximum Electronegativity,-0.0449128225681178,0.016714483713192573,0.0449128225681178,0.016714483713192573,5
Monoclinic,MagpieData maximum GSbandgap,-0.017412857156323024,0.01709223553357628,0.017412857156323024,0.01709223553357628,3
Monoclinic,MagpieData maximum GSmagmom,-0.06560652340344861,0.01469963190557038,0.06560652340344861,0.01469963190557038,5
Monoclinic,MagpieData maximum GSvolume_pa,-0.010897134345271555,0.02168839295281189,0.010897134345271555,0.02168839295281189,3
Monoclinic,MagpieData maximum MeltingT,0.0035966185694920765,0.0039976371388252725,0.0035966185694920765,0.0039976371388252725,3
Monoclinic,MagpieData maximum MendeleevNumber,0.035408138477740436,0.027754795638488365,0.035408138477740436,0.027754795638488365,5
Monoclinic,MagpieData maximum NUnfilled,-0.11957945629189382,0.014118839411311151,0.11957945629189382,0.014118839411311151,5
Monoclinic,MagpieData maximum NValence,0.2255089273558723,0.02587044670863286,0.2255089273558723,0.02587044670863286,5
Monoclinic,MagpieData maximum NdUnfilled,-0.2251838847722239,0.029357591979681904,0.2251838847722239,0.029357591979681904,5
Monoclinic,MagpieData maximum NdValence,-0.3368076129820435,0.018662170942111523,0.3368076129820435,0.018662170942111523,5
Monoclinic,MagpieData maximum NfUnfilled,0.025546654650369947,0.014434108298647478,0.025546654650369947,0.014434108298647478,4
Monoclinic,MagpieData maximum NfValence,0.011778419018537536,0.021768315204061178,0.011778419018537536,0.021768315204061178,2
Monoclinic,MagpieData maximum NpUnfilled,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData maximum NpValence,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData maximum NsUnfilled,-0.009206485293345149,0.020586326949771843,0.009206485293345149,0.020586326949771843,1
Monoclinic,MagpieData maximum NsValence,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData maximum Number,0.7530291671636482,0.8266454190608729,0.7530291671636482,0.8266454190608729,3
Monoclinic,MagpieData maximum Row,-0.5509249718792677,0.15505269131246396,0.5509249718792677,0.15505269131246396,5
Monoclinic,MagpieData maximum SpaceGroupNumber,-0.006322604522301554,0.014137773506713861,0.006322604522301554,0.014137773506713861,1
